locus	vendored_reading	american_edition_reading
Jdt.14.14	But when with hearkening, he perceived no motion of one lying, he came near to the curtain, and lifting it up, and seeing the body of Holofernes, lying upon the ground, without the head, weltering in his blood, he cried out with a loud voice, with weeping, and rent his garments.	But when with hearkening, he perceived no motion of one lying, he came near to the curtain, and lifting it up, and seeing the body of Holofernes, lying upon the ground, without the head, sweltering in his blood, he cried out with a loud voice, with weeping, and rent his garments.
Jdt.16.5	The Assyrian came out of the mountains from the north in the multitude of his strength: his multitude stopped up the torrents, and their horses covered the valleys.	The Assyrians came out of the mountains from the north in the multitude of his strength: his multitude stopped up the torrents, and their horses covered the valleys.
Esth.1.1	In the days of Assuerus, who reigned from India to Ethiopia over a hundred and twenty seven provinces:	In the days of Assuerus, who reigned from India to Ethiopia over a hundred and twenty-seven provinces:
Esth.3.7	In the first month (which is called Nisan) in the twelfth year of the reign of Assuerus, the lot was cast into an urn, which in Hebrew is called Phur, before Aman, on what day and what month the nation of the Jews should be destroyed: and there came out the twelfth month, which is called Adar.	In the first month (which is called Nisan) in the twelfth year a of the reign of Assuerus, the lot was cast into an urn, which in Hebrew is called Phur, before Aman, on what day and what month the nation of the Jews should be destroyed: and there came out the twelfth month, which is called Adar.
Esth.3.9	If it please thee, decree that they may be destroyed, and I will pay ten thousand talents to thy treasurers.	If it please thee, decree that they may he destroyed, and I will pay ten thousand talents to thy treasurers.
Esth.3.15	The couriers that were sent made haste to fulfil the king's commandment. And immediately the edict was hung up in Susan, the king and Aman feasting together, and all the Jews that were in the city weeping.	The couriers that were sent made haste to fulfill the king's commandment. And immediately the edict was hung up in Susan, the king and Aman feasting together, and all the Jews that were in the city weeping.
Esth.5.3	And the king said to her: What wilt thou, queen Esther? what is thy request? if thou shouldst even ask one half of the kingdom, it shall be given to thee.	And the king said to her: What wilt then, queen Esther? what is thy request? if thou shouldst even ask one half of the kingdom, it shall be given to thee.
Esth.5.8	If I have found favour in the king's sight, and if it please the king to give me what I ask, and to fulfil my petition: let the king and Aman come to the banquet which I have prepared them, and to morrow I will open my mind to the king.	If I have found favour in the king's sight, and if it please the king to give me what I ask, and to fulfill my petition: let the king and Aman come to the banquet which I have prepared them, and tomorrow I will open my mind to the king.
Esth.5.12	And after this he said: Queen Esther also hath invited no other to the banquet with the king, but me: and with her I am also to dine to morrow with the king:	And after this he said: Queen Esther also hath invited no other to the banquet with the king, but me: and with her I am also to dine tomorrow with the king:
Esth.9.13	And she answered: If it please the king, let it be granted to the Jews, to do to morrow in Susan as they have done to day, and that the ten sons of Aman may be hanged upon gibbets.	And she answered: If it please the king, let it be granted to the Jews, to do tomorrow in Susan as they have done today, and that the ten sons of Aman may be hanged upon gibbets.
Esth.13.2	Whereas I reigned over many nations, and had brought all the world under my dominion, I was not willing to abuse the greatness of my power, but to govern my subjects with clemency and that they might live quietly without any terror, and might enjoy peace, which is desired by all men,	Whereas I reigned over many nations, and had brought all the world under my dominion, I was not willing to abuse the greatness of my power, but to govern my subjects with clemency and lenity, that they might live quietly without any terror. and might enjoy peace, which is desired by all men.
Esth.13.12	Thou knowest all things, and thou knowest that it was not out of pride and or any desire of glory, that I refused to worship the proud Aman,	Thou knowest all things, and thou knowest that it was not out of pride and contempt, or any desire of glory, that I refused to worship the proud Aman,
Esth.15.9	So going in she passed through all doors in order, and stood before the king, where he sat upon his royal throne, clothed with his royal robes, and glittering with gold, and precious stones, and he was terrible to behold.	So going in she passed through all the doors in order, and stood before the king, where he sat upon his royal throne, clothed with his royal robes, and glittering with gold, and precious stones, and he was terrible to behold.
Esth.16.10	Now that you may more plainly understand what we say, Aman the son of Amadathi, a Macedonian both in mind and country, and having nothing of the Persian blood, but with his cruelty staining our goodness, was received being a stranger by us:	Now that you may more plainly understand what we say, I Aman the son of Amadathi, a Macedonian both in mind and country, and having nothing of the Persian blood, but with his cruelty staining our goodness, was received being a stranger by us:
Job.1.3	And his possession was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a family exceedingly great: and this man was great among all the people of the east.	And his possession was seven thousand sheep, and three thousand camels, and five hundred yoke of oxen, and five hundred she asses, and a family exceeding great: and this man was great among all the people of the east.
